id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	CO	NO2	PM2.5	SO2	C6H6	CO	NO2	O3	PM2.5	PM10	NO2	O3	
12424	Wrocław	2022-01-24	1	0.5	3	160	97.8	0	1034.8	None	None	None	None	None	None	None	None	None	None	None	None	
12424	Wrocław	2022-01-24	2	0.6	1	150	97.8	0	1035	589.828	18.1937	None	6.44335	0.77022	269.538	8.32357	48.7156	16.243	19.1369	7.19724	49.2211	
12424	Wrocław	2022-01-24	3	0.5	1	130	97.8	0	1034.8	617.4549999999999	21.1796	None	6.42478	0.67788	284.875	10.5765	42.9183	18.7229	21.6683	6.42644	43.6156	
12424	Wrocław	2022-01-24	4	0.6	2	110	97.8	0	1035	588.481	26.6738	None	6.18292	0.65736	289.925	10.2016	45.0728	18.4823	22.8818	8.0065	37.7878	
12424	Wrocław	2022-01-24	5	0.4	3	130	97.8	0	1035.1	768.273	47.2892	None	6.25957	0.64422	327.42199999999997	15.7411	36.1106	19.7322	24.0663	14.699	30.9456	
12424	Wrocław	2022-01-24	6	0.3	2	140	97.1	0.2	1035.4	841.596	52.5362	None	6.45658	1.05084	349.031	24.5952	32.9994	22.6793	29.5897	14.6778	41.9278	
12424	Wrocław	2022-01-24	7	0.3	2	140	95.0	0.2	1035.7	870.9599999999999	65.9019	None	6.7414	0.89064	350.536	33.9959	28.4439	18.3291	24.2649	19.4185	38.3789	
12424	Wrocław	2022-01-24	7	0.3	2	140	95.0	0.2	1035.7	None	None	None	None	None	None	None	None	None	None	None	None	
12424	Wrocław	2022-01-24	8	0.5	2	150	93.0	0.2	1036	826.129	69.3291	None	7.40243	0.87408	340.942	37.9096	23.995	19.302	27.0537	19.6182	36.63	
12424	Wrocław	2022-01-24	8	0.5	2	150	93.0	0.2	1036	826.129	69.3291	None	7.40243	0.87408	340.942	37.9096	23.995	19.302	27.0537	19.6182	36.63	
12424	Wrocław	2022-01-24	8	0.5	2	150	93.0	0.2	1036	826.129	69.3291	None	7.40243	0.87408	340.942	37.9096	23.995	19.302	27.0537	19.6182	36.63	
12424	Wrocław	2022-01-24	9	0.9	3	150	93.0	0.2	1036.2	755.893	62.3811	None	7.61007	1.13904	486.71999999999997	38.7642	24.2311	19.3776	29.572	21.0177	36.79	
12424	Wrocław	2022-01-24	10	1.1	3	180	95.7	0.2	1035.8	750.1170000000001	52.4594	None	8.63128	0.8586	483.65799999999996	34.1579	29.4278	17.8019	27.2273	16.7353	43.4728	
12424	Wrocław	2022-01-24	11	1.8	2	160	95.1	0.2	1035.7	778.6220000000001	56.7657	None	8.20594	1.04742	349.362	38.965	22.9361	20.9215	28.8262	16.8044	44.605
12424	Wrocław	2022-01-24	12	2	3	150	93.0	0.2	1035.4	795.335	55.4671	None	8.85255	1.07712	390.385	39.4276	20.905	29.57	39.4554	16.1776	46.8333	
12424	Wrocław	2022-01-24	13	2.1	2	160	93.0	0.2	1034.9	819.769	56.4465	None	9.31034	1.1565	480.73900000000003	35.202	24.5111	27.6573	35.4647	15.2179	46.3728	
12424	Wrocław	2022-01-24	14	2.2	2	130	93.7	0.2	1034.6	867.8280000000001	70.1688	None	9.32806	1.15326	434.316	46.502	13.8406	30.0261	40.72	17.8097	41.29	
12424	Wrocław	2022-01-24	15	2.1	1	120	93.7	0.2	1034.5	1015.5400000000001	63.5172	None	7.67569	1.31346	473.553	50.9819	8.81222	25.3444	35.0196	21.7049	35.8611	
12424	Wrocław	2022-01-24	16	1.9	2	170	95.1	0.2	1034.5	1034.6299999999999	73.1223	None	7.27784	None	522.137	55.4225	2.96556	26.6811	39.2858	25.5518	29.0978	
12424	Wrocław	2022-01-24	17	1.7	1	150	95.8	0.2	1034.7	1083.46	64.6591	None	9.58794	2.04045	669.399	55.6158	3.14889	43.1253	54.6587	31.4631	20.8306	
12424	Wrocław	2022-01-24	18	1.8	1	200	97.2	0.2	1034.6	1147.51	67.0496	None	7.78309	2.03634	563.286	52.9109	3.89889	34.7746	43.3851	34.3379	14.3544	
12424	Wrocław	2022-01-24	19	2	2	250	97.9	0.2	1034.3	1160.85	69.2603	None	6.83847	1.7199	495.27	47.3767	5.32889	34.0489	39.5543	37.6478	10.2194	
12424	Wrocław	2022-01-24	20	2.2	2	240	97.9	0.2	1034.3	1206.55	78.4488	None	7.052	1.90332	519.9789999999999	48.0942	3.51556	36.3189	40.3849	41.7119	4.17778	
12424	Wrocław	2022-01-24	21	2	2	230	97.9	0.2	1034.2	933.678	57.3638	None	6.24105	1.7118	429.50899999999996	39.3803	14.0956	30.3176	34.1309	41.4081	3.50056	
12424	Wrocław	2022-01-24	21	2	2	230	97.9	0.2	1034.2	805.926	51.3345	None	5.96752	1.22202	362.767	23.3386	29.3094	23.204	26.0666	32.1317	17.6617	
