id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	C6H6	CO	NO2	PM10	PM2.5	NO2	O3	PM10	PM2.5	
12375	Warszawa	2022-01-23	22	-6.4	1	120	85.6	0.2	1036.1	3.169	1046.0	68.85	48.56	29.55	53.76	10.08	42.99	37.92	
12375	Warszawa	2022-01-23	23	-6.1	2	140	81.7	0.2	1035.9	2.585	788.0	60.2	47.18	26.12	44.75	15.24	39.82	36.02	
12375	Warszawa	2022-01-24	0	-7.3	1	140	86.9	0.2	1036.2	2.46	602.0	45.04	35.56	22.86	8.7	51.43	26.95	25.31	
12375	Warszawa	2022-01-24	1	-6.7	1	130	87.6	0.2	1036.4	None	None	None	None	None	None	None	None	None	

12375	Warszawa	2022-01-24	2	-5.5	2	140	83.8	0.2	1036.2	1.934	497.0	26.67	34.45	23.09	19.58	35.89	36.0	33.67	
12375	Warszawa	2022-01-24	3	-5.2	1	140	83.1	0.2	1036.2	1.947	492.0	23.2	37.39	24.01	12.36	43.17	33.68	31.43	
12375	Warszawa	2022-01-24	4	-4.5	1	150	80.1	0.2	1036.1	1.806	502.0	26.75	46.73	25.19	15.45	39.11	37.17	34.31	
12375	Warszawa	2022-01-24	5	-4.4	2	140	78.8	0.2	1036.3	2.111	584.0	42.07	76.1	33.16	22.43	30.54	42.19	37.53	
12375	Warszawa	2022-01-24	6	-4.1	2	140	77.7	0	1036.7	2.319	741.0	56.42	101.99	34.99	21.02	30.28	43.7	37.88	
12375	Warszawa	2022-01-24	7	-3.9	3	140	77.7	0	1036.6	2.688	909.0	62.56	94.79	34.44	26.91	23.09	43.32	35.94	
12375	Warszawa	2022-01-24	7	-3.9	3	140	77.7	0	1036.6	None	None	None	None	None	None	None	None	None	
12375	Warszawa	2022-01-24	8	-3.6	2	150	76.0	0	1036.8	2.764	867.0	61.71	82.3	32.81	25.2	25.45	41.98	35.27	
12375	Warszawa	2022-01-24	8	-3.6	2	150	76.0	0	1036.8	2.764	867.0	61.71	82.3	32.81	25.2	25.45	41.98	35.27	
12375	Warszawa	2022-01-24	8	-3.6	2	150	76.0	0	1036.8	2.764	867.0	61.71	82.3	32.81	25.2	25.45	41.98	35.27	
12375	Warszawa	2022-01-24	9	-2.9	2	160	73.8	0	1036.5	2.811	915.0	61.6	86.44	35.4	28.65	24.92	42.82	35.3	
12375	Warszawa	2022-01-24	10	-2.2	2	170	71.7	0	1036.4	2.725	773.0	58.65	93.86	36.27	29.14	28.04	45.65	35.04	
12375	Warszawa	2022-01-24	11	-1.4	3	160	68.6	0	1035.8	2.607	859.0	61.94	91.4	35.61	25.52	34.9	41.68	30.42	
12375	Warszawa	2022-01-24	11	-1.4	3	160	68.6	0	1035.8	2.607	859.0	61.94	91.4	35.61	25.52	34.9	41.68	30.42	
